cik,ticker,company_name,period_end,fiscal_year,fiscal_quarter,revenue,cogs,gross_profit,gross_margin,operating_income,operating_margin,rd_expense,rd_intensity,sga_expense,sga_intensity,data_source,replicability_score,text_source,post,post_x_replicability,ln_revenue
796343,ADBE,ADOBE INC.,2019-03-01,2019,1,2601000000,397000000.0,2204000000.0,0.8474,695000000.0,0.2672,465000000.0,0.1788,216000000.0,0.083,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,21.679161823412926
796343,ADBE,ADOBE INC.,2019-05-31,2019,2,2744000000,407000000.0,2337000000.0,0.8517,750000000.0,0.2733,476000000.0,0.1735,219000000.0,0.0798,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,21.73268254681005
796343,ADBE,ADOBE INC.,2019-08-30,2019,3,2834000000,416000000.0,2418000000.0,0.8532,854000000.0,0.3013,490000000.0,0.1729,219000000.0,0.0773,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,21.7649549782149
796343,ADBE,ADOBE INC.,2019-11-29,2019,4,2992000000,,,,,,,,,,Revenues,0.4116,10k_fallback,0,0.0,21.819207897058643
796343,ADBE,ADOBE INC.,2020-02-28,2020,1,3091000000,452000000.0,2639000000.0,0.8538,937000000.0,0.3031,532000000.0,0.1721,271000000.0,0.0877,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,21.85176050009639
796343,ADBE,ADOBE INC.,2020-05-29,2020,2,3128000000,415000000.0,2713000000.0,0.8673,1016000000.0,0.3248,532000000.0,0.1701,224000000.0,0.0716,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,21.863659659629477
796343,ADBE,ADOBE INC.,2020-08-28,2020,3,3225000000,427000000.0,2798000000.0,0.8676,1069000000.0,0.3315,566000000.0,0.1755,230000000.0,0.0713,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,21.894198787194146
796343,ADBE,ADOBE INC.,2020-11-27,2020,4,3424000000,428000000.0,2996000000.0,0.875,,,,,,,Revenues; CostOfRevenue,0.4116,10k_fallback,0,0.0,21.954075295225906
796343,ADBE,ADOBE INC.,2021-03-05,2021,1,3905000000,447000000.0,3458000000.0,0.8855,1454000000.0,0.3723,620000000.0,0.1588,290000000.0,0.0743,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,22.08552362023806
796343,ADBE,ADOBE INC.,2021-06-04,2021,2,3835000000,444000000.0,3391000000.0,0.8842,1406000000.0,0.3666,612000000.0,0.1596,256000000.0,0.0668,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,22.067435271765632
796343,ADBE,ADOBE INC.,2021-09-03,2021,3,3935000000,467000000.0,3468000000.0,0.8813,1441000000.0,0.3662,651000000.0,0.1654,265000000.0,0.0673,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,22.093176718815776
796343,ADBE,ADOBE INC.,2022-03-04,2022,1,4262000000,512000000.0,3750000000.0,0.8799,1580000000.0,0.3707,701000000.0,0.1645,269000000.0,0.0631,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,22.173004370622838
796343,ADBE,ADOBE INC.,2022-06-03,2022,2,4386000000,539000000.0,3847000000.0,0.8771,1529000000.0,0.3486,738000000.0,0.1683,291000000.0,0.0663,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,22.20168348694211
796343,ADBE,ADOBE INC.,2022-09-02,2022,3,4433000000,546000000.0,3887000000.0,0.8768,1484000000.0,0.3348,775000000.0,0.1748,319000000.0,0.072,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,0,0.0,22.212342392709328
796343,ADBE,ADOBE INC.,2023-03-03,2023,1,4655000000,568000000.0,4087000000.0,0.878,1586000000.0,0.3407,827000000.0,0.1777,331000000.0,0.0711,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.261207747675442
796343,ADBE,ADOBE INC.,2023-06-02,2023,2,4816000000,572000000.0,4244000000.0,0.8812,1624000000.0,0.3372,876000000.0,0.1819,357000000.0,0.0741,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.295209544952932
796343,ADBE,ADOBE INC.,2023-09-01,2023,3,4890000000,580000000.0,4310000000.0,0.8814,1697000000.0,0.347,881000000.0,0.1802,353000000.0,0.0722,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.31045814043319
796343,ADBE,ADOBE INC.,2024-03-01,2024,1,5182000000,590000000.0,4592000000.0,0.8861,907000000.0,0.175,939000000.0,0.1812,352000000.0,0.0679,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.36845691908633
796343,ADBE,ADOBE INC.,2024-05-31,2024,2,5309000000,598000000.0,4711000000.0,0.8874,1885000000.0,0.3551,984000000.0,0.1853,355000000.0,0.0669,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.392669330547946
796343,ADBE,ADOBE INC.,2024-08-30,2024,3,5408000000,554000000.0,4854000000.0,0.8976,1992000000.0,0.3683,1022000000.0,0.189,366000000.0,0.0677,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.411145175687075
796343,ADBE,ADOBE INC.,2025-02-28,2025,1,5714000000,622000000.0,5092000000.0,0.8911,2163000000.0,0.3785,1026000000.0,0.1796,367000000.0,0.0642,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.46618514075499
796343,ADBE,ADOBE INC.,2025-05-30,2025,2,5873000000,638000000.0,5235000000.0,0.8914,2109000000.0,0.3591,1082000000.0,0.1842,377000000.0,0.0642,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.493631413486792
796343,ADBE,ADOBE INC.,2025-08-29,2025,3,5988000000,642000000.0,5346000000.0,0.8928,2173000000.0,0.3629,1088000000.0,0.1817,408000000.0,0.0681,Revenues; CostOfRevenue; OperatingIncomeLoss,0.4116,10k_fallback,1,0.4116,22.513023303503793
8670,ADP,AUTOMATIC DATA PROCESSING INC,2019-03-31,2019,1,3828200000,2092600000.0,1735600000.0,0.4534,,,,,750400000.0,0.196,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.065660555776283
8670,ADP,AUTOMATIC DATA PROCESSING INC,2019-09-30,2019,3,3495700000,2044800000.0,1450900000.0,0.4151,,,,,726500000.0,0.2078,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,21.97479947870063
8670,ADP,AUTOMATIC DATA PROCESSING INC,2019-12-31,2019,4,3669500000,2094100000.0,1575400000.0,0.4293,,,,,754300000.0,0.2056,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.02332124994939
8670,ADP,AUTOMATIC DATA PROCESSING INC,2020-03-31,2020,1,4047800000,2239100000.0,1808700000.0,0.4468,,,,,756600000.0,0.1869,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.12143936059638
8670,ADP,AUTOMATIC DATA PROCESSING INC,2020-09-30,2020,3,3470700000,2034300000.0,1436400000.0,0.4139,,,,,681000000.0,0.1962,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,21.967622139667228
8670,ADP,AUTOMATIC DATA PROCESSING INC,2020-12-31,2020,4,3695700000,2122400000.0,1573300000.0,0.4257,,,,,755800000.0,0.2045,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.030435818600314
8670,ADP,AUTOMATIC DATA PROCESSING INC,2021-03-31,2021,1,4102000000,2278100000.0,1823900000.0,0.4446,,,,,763000000.0,0.186,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.1347404965966
8670,ADP,AUTOMATIC DATA PROCESSING INC,2021-09-30,2021,3,3832300000,2222600000.0,1609700000.0,0.42,,,,,719200000.0,0.1877,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.06673098209088
8670,ADP,AUTOMATIC DATA PROCESSING INC,2021-12-31,2021,4,4025400000,2341200000.0,1684200000.0,0.4184,,,,,782300000.0,0.1943,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.115890121761172
8670,ADP,AUTOMATIC DATA PROCESSING INC,2022-03-31,2022,1,4513000000,2512200000.0,2000800000.0,0.4433,,,,,817500000.0,0.1811,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.230227957791275
8670,ADP,AUTOMATIC DATA PROCESSING INC,2022-09-30,2022,3,4215600000,2393600000.0,1822000000.0,0.4322,,,209800000.0,0.0498,800300000.0,0.1898,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,0,0.0,22.162057767024056
8670,ADP,AUTOMATIC DATA PROCESSING INC,2022-12-31,2022,4,4391000000,2450700000.0,1940300000.0,0.4419,,,204200000.0,0.0465,855700000.0,0.1949,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.202822828525992
8670,ADP,AUTOMATIC DATA PROCESSING INC,2023-03-31,2023,1,4927800000,2623800000.0,2304000000.0,0.4676,,,208600000.0,0.0423,938000000.0,0.1903,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.318158477938475
